r,s,projected_gradient_norm,collision_value,sign_u,sign_v,sign_w,amp_r,amp_s
5,6,0.6666666666666669,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
5,11,0.6666666666666669,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
5,14,0.6666666666666669,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
6,12,0.6666666666666669,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
7,16,0.6666666666666669,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
8,10,0.6666666666666669,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
9,10,0.6666666666666669,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
11,12,0.6666666666666669,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
12,13,0.6666666666666669,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
14,17,0.6666666666666669,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
0,2,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
0,3,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
0,4,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
0,5,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
0,14,0.6666666666666667,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
1,15,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
2,16,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
3,17,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
4,18,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
5,7,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
6,7,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
6,15,0.6666666666666667,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
7,10,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
8,11,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
8,17,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
11,13,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
15,16,0.6666666666666667,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
17,18,0.6666666666666667,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
1,2,0.6666666666666666,-0.3333333333333333,-1.0,-1.0,1.0,1.0,1.0
1,6,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
3,4,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
3,8,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
6,9,0.6666666666666666,-0.3333333333333333,1.0,-1.0,-1.0,1.0,1.0
7,13,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
9,12,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
10,13,0.6666666666666666,-0.3333333333333333,-1.0,1.0,-1.0,1.0,1.0
